,Name,City,Address,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
84,Донов,Кавадарци,"Кавадарци, Лазо Асијата 6",Работно Време: Пон - Саб од 08:00 до 20:00,"['вина - трговија', 'винарски визби']",070 204185,http://,https://,https://mk-mk.facebook.com/donovwinery/,41.430119,22.019174
85,Воденица,Скопје,"Скопје, М.Т.Гологанов (Иво Лола Рибар) 69",Работно време: Пон - Пет од 09:00 до 00:00 • Саб од 09:00 до 01:00,"['ресторани', 'ресторани - италијански', 'ресторани - специјалитети', 'винотеки (винарници)', 'ресторани за свадби', 'конференциски капацитети и услуги']",02 3232877,http://www.vodenicamulino.com.mk/,https://,https://www.facebook.com/VodenicaMulino/,41.995057,21.413398
86,Камник,Скопје,"Скопје, Камник б.б.",Работно време: Пон - Чет од 08:00 до 00:00 • Пет - Саб од 08:00 до 01:00 • Нед од 08:00 до 22:00,"['ресторани', 'винотеки (винарници)']",02 2523522,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/ChateauKamnikWinery/,42.00807,21.489983
87,Камник вино,Скопје,"Скопје, Димитија Чуповски (Вељко Влаховиќ) 13",Работно време: Пон - Саб од 09:00 до 19:00,"['винотеки (винарници)', 'пијалаци - алкохолни - трговија']",02 3117080,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/ChateauKamnikWinery/,41.99706,21.427423
88,Вила Мал Свети Климент,Охрид,"Охрид, Методија Патчев 8",Работно време: Пон - Нед од 08:00 до 23:00,"['апартмани и приватни соби - изнајмување', 'хотели', 'винотеки (винарници)']",046 250655,http://www.vilamalsvetikliment.com/,https://www.instagram.com/malsvetikliment/,https://www.facebook.com/vila.malsvetikliment,41.113143,20.796508
89,Сарафов,Струга,"Струга, 1-ва Македонска ударна бригада 1",Работно време: Пон - Саб од 09:00 до 21:00,['винотеки (винарници)'],071 366951,http://,https://,https://,41.468551,22.082963
90,Библиотека,Скопје,"Скопје, бул.Партизански Одреди 55/5",Работно време: Пон - Пет од 09:00 до 21:00,"['пијалаци - алкохолни - трговија', 'винотеки (винарници)']",02 3246023,http://www.liquorstore.busness.site/,https://,https://www.facebook.com/BibliotekaLiquorStore,42.000365,21.413935
91,Панорама,Струмица,"Струмица, с.Мокрино",Работно време: Пон - Нед од 10:00 до 23:00,"['ресторани', 'ресторани за свадби', 'туризам - алтернативен', 'туристички агенции', 'винотеки (винарници)', 'ресторани - национални']",070 700776,http://www.panoramamokrino.blogspot.com/,https://,https://www.facebook.com/pages/Restoran-Panorama-Mokrino/147703835287399,41.378976,22.854615
92,Виноро-Алкотека,Скопје,"Скопје, бул.Св.Климент Охридски 54",Работно време: Пон - Пет од 10:30 до 19:00,"['пијалаци - алкохолни - трговија', 'винотеки (винарници)']",070 851932,http://,https://,https://www.facebook.com/pages/Vinoro/129580003727230,41.997587,21.424901
93,Боттега дел вино,Скопје,"Скопје, бул.Партизански Одреди 64/3-б",Работно време: Пон - Саб од 10:00 до 19:00,"['винотеки (винарници)', 'пијалаци - алкохолни - трговија']",02 6156006,http://www.bottegadelvino.com.mk/,https://,https://www.facebook.com/bottegavino,42.003586,21.398838
